basename read.len gen.cov assem.kmer short.name num.contigs.in.set len.cutoff low.ci confidence high.ci
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 128 315 0.625 0.703125 0.7890625 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 119 421 0.6806723 0.7563025 0.8319328 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 112 752 0.7321429 0.8035714 0.875 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 105 1331 0.7904762 0.8571429 0.9238095 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 96 2465 0.8541667 0.90625 0.96875 
EColik12CompleteGenome 150 4 61 EColik12CompleteGenome.150.4.61 63 15428 0.9047619 0.952381 1.015873 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 806 0 0.6016439 0.633995 0.6674938 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 785 184 0.6178344 0.6509554 0.6853503 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 728 277 0.6675824 0.7005495 0.7348901 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 677 474 0.7193501 0.7503693 0.7843427 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 633 684 0.7693523 0.8009479 0.8341232 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 595 854 0.8235294 0.8504202 0.8789916 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 555 1140 0.8774775 0.9009009 0.9261261 
EColik12CompleteGenome 150 7 21 EColik12CompleteGenome.150.7.21 495 1817 0.9333333 0.9515152 0.969697 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 234 0 0.6495726 0.7051282 0.7649573 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 219 343 0.6940639 0.7534247 0.8127854 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 206 820 0.7475728 0.8009709 0.8543689 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 190 1247 0.8052632 0.8526316 0.9052632 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 175 2252 0.8628571 0.9028571 0.9485714 
EColik12CompleteGenome 150 7 41 EColik12CompleteGenome.150.7.41 154 4022 0.9220779 0.9545455 0.987013 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 147 0 0.4965986 0.5782313 0.6598639 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 147 0 0.4965986 0.5782313 0.6598639 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 141 271 0.5248227 0.6028369 0.6879433 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 129 324 0.5736434 0.6511628 0.7286822 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 119 477 0.6302521 0.7058824 0.789916 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 111 935 0.6756757 0.7567568 0.8378378 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 103 1575 0.7378641 0.8058252 0.8834951 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 96 2464 0.7916667 0.8541667 0.9270833 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 86 4121 0.8488372 0.9069767 0.9767442 
EColik12CompleteGenome 150 7 61 EColik12CompleteGenome.150.7.61 45 34834 0.9111111 0.9555556 1.022222 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 123 0 0.5365854 0.6260163 0.7073171 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 116 369 0.5689655 0.6551724 0.7413793 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 107 477 0.6168224 0.7009346 0.7943925 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 99 965 0.6767677 0.7575758 0.8383838 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 92 1486 0.7282609 0.8043478 0.8913043 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 87 1798 0.7816092 0.8505747 0.9310345 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 59 15920 0.8474576 0.9152542 1 
EColik12CompleteGenome 150 7 81 EColik12CompleteGenome.150.7.81 43 34832 0.9069767 0.9534884 1.023256 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 98 0 0.5816327 0.6734694 0.7660714 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 98 0 0.5816327 0.6734694 0.7755102 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 94 477 0.6170213 0.7021277 0.787234 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 87 722 0.6666667 0.7586207 0.8505747 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 81 1092 0.7160494 0.8024691 0.8888889 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 76 1409 0.7763158 0.8552632 0.9473684 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 72 1930 0.8472222 0.9027778 0.9722222 
EColik12CompleteGenome 150 7 101 EColik12CompleteGenome.150.7.101 65 2915 0.9076923 0.9538462 1.015385 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 809 0 0.6007417 0.6353523 0.6687268 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 790 177 0.6177215 0.6506329 0.6835443 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 734 257 0.6675749 0.7002725 0.7343324 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 682 455 0.7184751 0.7507331 0.7829912 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 637 656 0.7708006 0.8006279 0.8304553 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 597 837 0.8224456 0.8509213 0.881072 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 559 1108 0.8765653 0.90161 0.9266547 
EColik12CompleteGenome 150 10 21 EColik12CompleteGenome.150.10.21 502 1693 0.9322709 0.9501992 0.9701195 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 233 0 0.6391631 0.695279 0.7553648 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 233 0 0.639485 0.695279 0.7553648 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 231 201 0.6450216 0.7012987 0.7619048 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 215 427 0.6976744 0.7534884 0.8139535 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 202 991 0.7475248 0.8019802 0.8564356 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 187 1384 0.802139 0.8502674 0.9037433 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 166 2696 0.8614458 0.9036145 0.9518072 
EColik12CompleteGenome 150 10 41 EColik12CompleteGenome.150.10.41 147 5294 0.9246599 0.952381 0.9863946 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 149 0 0.5704698 0.6442953 0.7248322 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 147 245 0.5782313 0.6530612 0.7346939 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 135 290 0.6296296 0.7037037 0.7777778 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 126 469 0.6825397 0.7539683 0.8253968 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 118 933 0.7372881 0.8050847 0.8813559 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 111 1198 0.7927928 0.8558559 0.9189189 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 104 1575 0.8557692 0.9038462 0.9711538 
EColik12CompleteGenome 150 10 61 EColik12CompleteGenome.150.10.61 96 2464 0.9270833 0.9583333 1 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 122 0 0.5327869 0.6147541 0.6967213 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 115 396 0.5652174 0.6521739 0.7391304 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 105 490 0.6190476 0.7047619 0.7904762 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 98 1062 0.6734694 0.755102 0.8367347 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 91 1572 0.7252747 0.8021978 0.8901099 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 83 2487 0.7831325 0.8554217 0.9277108 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 61 14865 0.8360656 0.9016393 0.9836066 
EColik12CompleteGenome 150 10 81 EColik12CompleteGenome.150.10.81 43 33175 0.9069767 0.9534884 1.023256 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 95 0 0.5368421 0.6315789 0.7271053 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 92 463 0.5543478 0.6521739 0.75 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 85 773 0.6117647 0.7058824 0.8 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 78 1198 0.6666667 0.7564103 0.8589744 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 73 1655 0.7260274 0.8082192 0.9041096 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 69 2250 0.7826087 0.8550725 0.942029 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 54 9729 0.8333333 0.9074074 1 
EColik12CompleteGenome 150 10 101 EColik12CompleteGenome.150.10.101 30 41413 0.9333333 0.9666667 1.033333 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 93 0 0.5698925 0.6666667 0.7634409 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 93 0 0.5798387 0.6666667 0.7634409 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 87 752 0.6091954 0.7011494 0.8045977 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 79 1156 0.6708861 0.7594937 0.8481013 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 74 1331 0.7297297 0.8108108 0.9054054 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 70 1732 0.7857143 0.8571429 0.9439286 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 66 2120 0.8484848 0.9090909 0.9848485 
EColik12CompleteGenome 150 10 121 EColik12CompleteGenome.150.10.121 62 2713 0.9032258 0.9516129 1.016129 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 803 0 0.6052304 0.6388543 0.6712329 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 788 174 0.6192893 0.6510152 0.6840102 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 730 260 0.6697603 0.7027397 0.7369863 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 681 460 0.7209985 0.7503671 0.7826725 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 637 663 0.7706829 0.8006279 0.8320251 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 598 847 0.8226171 0.8511706 0.8780518 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 559 1133 0.8783542 0.90161 0.9284436 
EColik12CompleteGenome 150 25 21 EColik12CompleteGenome.150.25.21 502 1761 0.9322709 0.9501992 0.9701195 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 232 0 0.6551724 0.7112069 0.7715517 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 219 343 0.6986301 0.7534247 0.8127854 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 206 781 0.7475728 0.8009709 0.8592233 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 191 1232 0.8010471 0.8534031 0.9057592 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 180 1962 0.8555556 0.9 0.9444444 
EColik12CompleteGenome 150 25 41 EColik12CompleteGenome.150.25.41 157 3513 0.9235669 0.955414 0.9872611 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 138 0 0.5507246 0.6304348 0.7101449 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 133 289 0.5714286 0.6541353 0.7368421 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 121 363 0.6198347 0.7024793 0.785124 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 113 1031 0.6725664 0.7522124 0.840708 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 102 2252 0.7352941 0.8039216 0.8823529 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 95 2738 0.7894737 0.8526316 0.9263158 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 86 4395 0.8488372 0.9069767 0.9651163 
EColik12CompleteGenome 150 25 61 EColik12CompleteGenome.150.25.61 72 10949 0.9166667 0.9583333 1.013889 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 115 0 0.5565217 0.6434783 0.7304348 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 112 354 0.5625 0.6517857 0.7410714 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 102 630 0.6176471 0.7058824 0.7941176 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 95 1433 0.6736842 0.7578947 0.8421053 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 88 2073 0.7272727 0.8068182 0.8977273 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 82 2938 0.7804878 0.8536585 0.9390244 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 73 4546 0.8356164 0.9041096 0.9726027 
EColik12CompleteGenome 150 25 81 EColik12CompleteGenome.150.25.81 57 16472 0.9298246 0.9649123 1.017544 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 93 0 0.5913978 0.6774194 0.7741935 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 93 0 0.5905914 0.6774194 0.7741935 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 88 633 0.6136364 0.7045455 0.7954545 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 82 1044 0.6707317 0.7560976 0.8536585 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 76 1572 0.7105263 0.8026316 0.8947368 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 70 2171 0.7857143 0.8571429 0.9428571 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 64 3421 0.84375 0.90625 0.984375 
EColik12CompleteGenome 150 25 101 EColik12CompleteGenome.150.25.101 50 15531 0.92 0.96 1.02 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 92 0 0.5869565 0.673913 0.7717391 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 92 0 0.576087 0.673913 0.7717391 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 87 760 0.6091954 0.7011494 0.7931034 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 81 1054 0.654321 0.7530864 0.8395062 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 76 1259 0.7105263 0.8026316 0.8947368 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 71 1695 0.7887324 0.8591549 0.943662 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 65 2431 0.8461538 0.9076923 0.9846154 
EColik12CompleteGenome 150 25 121 EColik12CompleteGenome.150.25.121 62 2909 0.9032258 0.9516129 1.016129 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 804 0 0.6056281 0.6380597 0.6716418 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 789 174 0.617237 0.6501901 0.6831432 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 731 260 0.6662107 0.7004104 0.7332421 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 679 462 0.7172312 0.7511046 0.7835052 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 634 681 0.7697161 0.8012618 0.8328076 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 596 854 0.8238255 0.8506711 0.8791946 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 556 1140 0.8776978 0.9010791 0.926259 
EColik12CompleteGenome 150 50 21 EColik12CompleteGenome.150.50.21 497 1858 0.9336016 0.9517103 0.971831 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 231 0 0.662013 0.7142857 0.7748918 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 219 334 0.6986301 0.7534247 0.8082192 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 206 768 0.7475728 0.8009709 0.8543689 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 192 1221 0.8072917 0.8541667 0.90625 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 180 1962 0.8555556 0.9 0.9444444 
EColik12CompleteGenome 150 50 41 EColik12CompleteGenome.150.50.41 150 4452 0.92 0.9533333 0.9866667 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 138 0 0.5434783 0.6231884 0.7028986 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 132 298 0.5757576 0.6515152 0.7348485 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 121 363 0.6198347 0.7024793 0.7857438 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 113 1031 0.6725664 0.7522124 0.8318584 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 104 1908 0.7307692 0.8076923 0.8846154 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 95 2738 0.7894737 0.8526316 0.9263158 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 86 4395 0.8488372 0.9069767 0.9767442 
EColik12CompleteGenome 150 50 61 EColik12CompleteGenome.150.50.61 72 10949 0.9166667 0.9583333 1.013889 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 113 0 0.5486726 0.6371681 0.7256637 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 109 381 0.5688073 0.6513761 0.7431193 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 99 720 0.6262626 0.7070707 0.7979798 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 91 1737 0.6703297 0.7582418 0.8461538 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 86 2494 0.7209302 0.8023256 0.8953488 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 77 3844 0.7792208 0.8571429 0.9480519 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 69 9972 0.8550725 0.9130435 0.9855072 
EColik12CompleteGenome 150 50 81 EColik12CompleteGenome.150.50.81 58 16472 0.9310345 0.9655172 1.017241 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 88 533 0.6136364 0.7045455 0.8068182 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 82 1133 0.6585366 0.7560976 0.8536585 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 77 1737 0.7272727 0.8051948 0.8961039 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 68 2873 0.7794118 0.8529412 0.9411765 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 63 3704 0.8412698 0.9047619 0.984127 
EColik12CompleteGenome 150 50 101 EColik12CompleteGenome.150.50.101 53 10949 0.9245283 0.9622642 1.018868 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 92 0 0.576087 0.673913 0.7717391 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 92 0 0.576087 0.673913 0.7717391 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 87 760 0.6091954 0.7011494 0.7939655 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 79 1198 0.6699367 0.7594937 0.8607595 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 74 1344 0.7297297 0.8108108 0.9054054 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 70 1806 0.7857143 0.8571429 0.9428571 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 65 2431 0.8461538 0.9076923 0.9846154 
EColik12CompleteGenome 150 50 121 EColik12CompleteGenome.150.50.121 62 2909 0.9032258 0.9516129 1.016129 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 79 0 0.5822785 0.6835443 0.7848101 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 79 0 0.5822785 0.6835443 0.7848101 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 77 597 0.5974026 0.7012987 0.8051948 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 71 1094 0.6619718 0.7605634 0.8732394 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 67 1598 0.7164179 0.8059701 0.9104478 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 62 2471 0.7741935 0.8548387 0.9516129 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 57 2985 0.8421053 0.9122807 0.9824561 
EColik12CompleteGenome 150 50 141 EColik12CompleteGenome.150.50.141 52 4876 0.9230769 0.9615385 1.019231 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 734 0 0.6021798 0.6376022 0.6716621 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 719 303 0.6175243 0.650904 0.6828929 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 667 482 0.6656672 0.7001499 0.7346327 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 619 705 0.7172859 0.7512116 0.7852585 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 581 878 0.7659208 0.8003442 0.8330465 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 539 1246 0.8237477 0.851577 0.8831169 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 504 1626 0.8769841 0.9007937 0.9285714 
EColik12CompleteGenome 250 4 21 EColik12CompleteGenome.250.4.21 463 2329 0.9308855 0.950324 0.9697624 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 232 0 0.6508621 0.7112069 0.7672414 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 219 403 0.6986301 0.7534247 0.8127854 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 206 636 0.7475728 0.8009709 0.8592233 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 192 1155 0.8072917 0.8541667 0.90625 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 181 1664 0.8618785 0.9005525 0.9502762 
EColik12CompleteGenome 250 4 41 EColik12CompleteGenome.250.4.41 168 2553 0.922619 0.952381 0.9880952 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 150 0 0.54 0.62 0.7 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 139 281 0.5755396 0.6546763 0.7338129 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 128 325 0.625 0.703125 0.78125 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 119 477 0.6806723 0.7563025 0.8319328 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 112 846 0.7321429 0.8035714 0.875 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 105 1408 0.7904762 0.8571429 0.9238095 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 98 2391 0.8571429 0.9081633 0.9693878 
EColik12CompleteGenome 250 4 61 EColik12CompleteGenome.250.4.61 89 3822 0.9213483 0.9550562 1 
EColik12CompleteGenome 250 4 81 EColik12CompleteGenome.250.4.81 124 0 0.5 0.5887097 0.6774194 
EColik12CompleteGenome 250 4 81 EColik12CompleteGenome.250.4.81 124 0 0.5 0.5887097 0.6774194 
EColik12CompleteGenome 250 4 81 EColik12CompleteGenome.250.4.81 120 339 0.525 0.6083333 0.6916667 
EColik12CompleteGenome 250 4 81 EColik12CompleteGenome.250.4.81 109 455 0.5688073 0.6605505 0.7431193 
